"UNIPROTKB","LENGTH"
"E9Q6P5"," 843"
"Q9DBU6"," 334"
"E9Q6R7","3430"
"E9Q6U4"," 130"
"Q6ZQE4"," 437"
"Q3U055"," 758"
"E9Q723"," 792"
"E9Q784","1729"
"Q924H2"," 789"
"E9Q7D5","1581"
"E9Q7E2","1828"
"Q3V3Q7"," 862"
"E9Q7G0","2094"
"E9Q7X6","1337"
"Q99NH0","2603"
"P06909","1234"
"E9Q8I7"," 918"
"Q9D620"," 645"
"Q60695"," 768"
"Q8BRT1","1286"
"E9Q8V6","1869"
"E9Q912"," 607"
"E9Q9A9"," 742"
"Q922G6"," 298"
"E9Q9B7","1793"
"E9Q9C3","1827"
"E9Q9D5"," 223"
"E9Q9F7"," 977"
"E9Q9R9","1921"
"E9Q9J4","1242"
"Q6A078","2472"
"Q3V1L4"," 560"
"Q9JJG0","1149"
"E9QAB6","  66"
"Q0VGY8","1856"
"E9QAH1","3197"
"E9QAP7","1042"
"Q9WV60"," 420"
"Q6PDQ2","1915"
"P35922"," 614"
"Q9CZM2"," 204"
"E9QB01"," 849"
"Q80ZK0"," 160"
"Q9R117","1184"
"E9QMJ5"," 773"
"Q3UMQ8"," 489"
"Q8CG79","1128"
"Q8K2Z2"," 665"
"Q91VS7"," 155"
"Q9WVL2"," 923"
"P97798","1493"
"Q5XG71","2788"
"Q5PSV9","1707"
"Q9JKS5"," 411"
"Q9ESN6"," 744"
"Q3UHX0","1147"
"Q9DBA9"," 547"
"Q8BMG7","1366"
"Q9WV86"," 491"
"Q9CWH5"," 460"
"P0DOV2"," 619"
"Q91YE6","1041"
"Q8CIC2"," 420"
"Q8CI04"," 820"
"Q91YX5"," 370"
"Q0GNC1","1273"
"Q3UFF7"," 239"
"Q571I4","1373"
"Q8C3R1"," 822"
"Q8BZ98"," 863"
"Q60961"," 233"
"Q6PF93"," 887"
"Q640P4"," 349"
"P55012","1205"
"Q148V7","1216"
"Q8CES0"," 364"
"P59242","1191"
"Q9DBZ1"," 373"
"O35625"," 863"
"Q8BH86"," 617"
"Q8BLK9","1056"
"P05622","1098"
"Q812A2","1099"
"Q922K7"," 793"
"Q9QWY8","1147"
"P02469","1786"
"Q8VCR7"," 210"
"Q99JP0"," 894"
"Q5XG73"," 508"
"E9QNN1","1384"
"P62984"," 128"
"O08999","1813"
"Q8VD62"," 298"
"Q60751","1373"
"Q9JLC8","4582"
"Q99PP7","1142"
"Q6ZWQ0","6874"
"Q99MS7","1716"
"Q6PGF3"," 828"
"E9QP99","1487"
"Q69ZJ7","1422"
"Q8CIT9"," 700"
"Q05920","1178"
"O08638","1972"
"Q6A026","1332"
"Q8VDR9","2080"
"Q9CXZ1"," 175"
"Q70FJ1","3797"
"E9QQ18"," 965"
"Q69ZI1"," 892"
"F2Z3U3","1266"
"Q01237"," 887"
"O35207"," 114"
"Q91V08"," 207"
"Q9QZW0","1129"
"Q3V0Q1","3086"
"Q5U430","1889"
"Q8VEH3"," 186"
"P47915"," 160"
"Q9JJK2"," 450"
"F6RK91","  99"
"F6RND9","1010"
"Q9JHR7","1019"
"Q8N9S3"," 331"
"Q8K1Z0"," 313"
"Q7TPH6","4749"
"F6SPK0"," 262"
"F6SZ47"," 750"
"Q60739"," 355"
"Q8BX90","1198"
"F6V8M6"," 662"
"Q3UMG5"," 773"
"P09602","  90"
"Q8VDQ9"," 704"
"Q6ZQ93","3582"
"Q8BRN9"," 848"
"Q9CY28"," 285"
"F6Y616"," 484"
"P59997","1161"
"P62270"," 152"
"O88286","1684"
"F6ZDS4","2431"
"Q9CR21"," 156"
"Q9Z224","  88"
"F6ZQA3"," 741"
"Q63961"," 653"
"O70325"," 197"
"E2JF22","2547"
"F7BE84","1390"
"Q8C7Q4"," 361"
"F7BJB9"," 942"
"P47802"," 317"
"F7CVJ5","1126"
"Q78HU7","  95"
"F7DBB3","1576"
"F8VPK0","1563"
"P70336","1388"
"Q61194","1686"
"F8VPN4","1532"
"F8VPP8"," 982"
"Q8BVA4"," 595"
"P45481","2441"
"F8VPU2","1048"
"P48725","2898"
"Q6A4J8","1103"
"F8VPX2"," 458"
"F8VPZ3","1604"
"F8VPZ9","1578"
"F8VQ05","3007"
"Q61810","1253"
"Q8VI36"," 591"
"Q01341","1165"
"Q8R418","1916"
"Q8VDD9","1821"
"Q6Y685"," 774"
"F8VQB6","2062"
"F8VQC1"," 671"
"Q61595","1327"
"Q8BTY2","1034"
"Q05909","1442"
"Q8VHH5"," 910"
"Q3TLI0","1259"
"Q4JIM5","1182"
"P02468","1607"
"P59808","1230"
"F8VQN6","1544"
"Q9CZB0"," 169"
"Q9R0A5"," 511"
"Q922M3"," 315"
"Q68FL4"," 613"
"Q497V5"," 982"
"Q61543","1175"
"Q08775"," 607"
"Q7TPM1","1486"
"O70161"," 661"
"Q8K4B0"," 715"
"Q3TXB7"," 558"
"Q9CY18"," 387"
"P05480"," 541"
"P0C8B4","  98"
"Q91W89","1039"
"Q69ZR2","2618"
"Q8WTY4"," 309"
"F8WIT2"," 667"
"Q9D1K7"," 174"
"F8WIV2"," 399"
"Q923Q2","1113"
"O08550","2713"
"Q3UMY5"," 988"
"Q80X82","1288"
"Q8BQR4"," 486"
"Q99LJ7"," 551"
"Q9D2C2"," 474"
"Q62203"," 475"
"G3UW40"," 828"
"G3UW78"," 524"
"Q9CZR2"," 740"
"Q8K2H1"," 381"
"Q9Z172"," 110"
"Q8BHY8"," 964"
"G3UX26"," 283"
"G3UXC7","1706"
"Q9D7G0"," 318"
"Q99LD4"," 471"
"P97371"," 249"
"G3UY52"," 174"
"Q9ESZ8"," 998"
"Q8R1F9"," 363"
"P62858","  69"
"P63013"," 245"
"Q921I2"," 584"
"Q8BGA5"," 380"
"P97493"," 166"
"O54754","1333"
"O89090"," 784"
"G3X8Q1","2187"
"G3X9T8","1060"
"Q60870"," 185"
"Q3UA37"," 777"
"Q8R3W5"," 168"
"Q0P678"," 948"
"P16675"," 474"
"Q91WP6"," 418"
"G3X8U3"," 338"
"G3X8U7"," 515"
"O88622"," 969"
"Q8VE09"," 580"
"Q920Q4"," 839"
"Q80UM3"," 865"
"Q9DBR3"," 673"
"G3X922","2243"
"Q9JJ80"," 306"
"Q3TWF6"," 657"
"Q921R8"," 488"
"Q920B9","1047"
"O35711"," 882"
"Q9DBZ9"," 737"
"G3X972","1096"
"G3X982","1335"
"G3X9B1","2143"
"Q8BQ89"," 337"
"P48997"," 467"
"P42859","3119"
"P70414"," 970"
"G3X9K3","1846"
"Q9DCX2"," 161"
"Q9ER88"," 391"
"Q8C4V1"," 747"
"Q9JKP5"," 341"
"P30999"," 938"
"G3X9Y5","1085"
"Q8R060"," 589"
"Q61371"," 824"
"G3XA57"," 512"
"G4V4Z0"," 645"
"G4V4Z2"," 536"
"Q9D8B4"," 141"
"Q9CWR0"," 618"
"G5E829","1220"
"Q9ER64"," 874"
"G5E837",NA
"P56395"," 134"
"Q62120","1129"
"Q99NB9","1304"
"G5E870","2025"
"Q3TUH1"," 337"
"O88643"," 545"
"Q8BIV6"," 316"
"Q3UJB9","1406"
"G5E897"," 503"
"Q9R269","1755"
"P22777"," 402"
"Q8CI95"," 751"
"Q80XS6"," 687"
"Q64512","2453"
"Q8BHL4"," 356"
"Q8BRH0"," 920"
"Q91YD6"," 859"
"Q9WVJ9"," 443"
"G5E8G0"," 287"
"G5E8G3"," 345"
"O35516","2473"
"Q8K1X1","1223"
"Q62136","1176"
"Q61083"," 619"
"P97412","3788"
"Q922D4"," 844"
"Q6P5G6"," 467"
"Q8BVD5"," 576"
"P60904"," 198"
"Q9EQJ9","1476"
"Q99KB8"," 309"
"G5E8V9"," 373"
"Q62394"," 352"
"G5E924"," 615"
"Q8BMQ3","1127"
"Q8R088"," 285"
"Q8BJA3"," 419"
"Q6NVF9"," 551"
"P52430"," 355"
"H3BKH2"," 796"
"Q9R0P3"," 282"
"Q60875"," 985"
"Q80YV2"," 501"
"H3BKQ3"," 813"
"Q8C1M2"," 176"
"Q8C172"," 384"
"O70401"," 245"
"O08784","1320"
"Q80XR2"," 918"
"Q60954"," 390"
"Q6DIC0","1577"
"Q811I0"," 324"
"Q00560"," 917"
"H7BWY8"," 195"
"Q4VGL6","1130"
"Q8BMZ5"," 316"
"Q6W3F0"," 542"
"Q6A065","1588"
"P40224","  93"
"P47934"," 626"
"Q6PDM2"," 248"
"Q9JHJ3"," 404"
"H9H9T1"," 153"
"Q9QX47","2444"
"Q99JN2"," 634"
"Q9JI46"," 168"
"Q9D924"," 129"
"Q793I8"," 184"
"Q99J47"," 323"
"Q8N7N6"," 555"
"Q9DCD5"," 539"
"J3QK52"," 750"
"Q80UU1"," 748"
"Q9CZ42"," 343"
"Q9CWY9"," 219"
"Q8K2C1"," 358"
"Q99PN3"," 545"
"Q5I012","1090"
"Q8BWG8"," 418"
"B7ZNG0","1348"
"Q0VG47"," 357"
"P54254"," 791"
"Q6PR54","2419"
"Q9QZ85"," 413"
"Q60766"," 409"
"Q9ES89"," 330"
"P70380"," 192"
"P18572"," 389"
"Q8BH60"," 463"
"Q9D8M7"," 497"
"Q5ND34","1934"
"P34152","1052"
"P63001"," 192"
"Q9QVP9","1009"
"Q80SU7","2427"
"Q8VE11"," 617"
"Q68FF0"," 718"
"A2ASQ1","1950"
"Q8CGI1","1231"
"P15208","1372"
"P67871"," 215"
"O08528"," 917"
"O08529"," 700"
"O08532","1103"
"O08539"," 588"
"O08543"," 228"
"O08547"," 215"
"O08553"," 572"
"O08573"," 353"
"O08582"," 668"
"O08583"," 255"
"O08599"," 594"
"O08600"," 294"
"O08648","1597"
"O08663"," 478"
"O08688"," 640"
"O08715"," 857"
"O08734"," 209"
"O08736"," 419"
"O08738"," 276"
"O08746"," 956"
"O08749"," 509"
"O08759"," 870"
"O08792"," 575"
"O08795"," 521"
"O08796"," 724"
"O08797"," 374"
"O08800"," 374"
"O08804"," 377"
"O08807"," 274"
"O08810"," 971"
"O08832"," 578"
"O08842"," 464"
"O08848"," 538"
"O08856"," 602"
"O08908"," 722"
"O08911"," 367"
"O08912"," 559"
"O08915"," 330"
"O08917"," 428"
"O08919"," 604"
"O08967"," 399"
"O08970"," 390"
"O08989"," 208"
"O08992"," 299"
"O08997","  68"
"O09005"," 323"
"O09012-2",NA
"O09061"," 240"
"O09106"," 482"
"O09110"," 347"
"O09111"," 151"
"O09131"," 240"
"Q61069"," 310"
"O09159","1013"
"O09164"," 251"
"O09172"," 274"
"O09174"," 381"
"O35071","1100"
"O35074"," 501"
"O35075"," 297"
"O35114"," 478"
"O35127"," 126"
"O35129"," 299"
"O35130"," 244"
"O35134","1717"
"O35188"," 395"
"O35215"," 118"
"O35218"," 782"
"Q3ULG4"," 379"
"O35233","1211"
"O35239"," 593"
"O35242"," 920"
"O35245"," 966"
"O35286"," 795"
"O35295"," 324"
"O35309"," 314"
"O35316"," 621"
"O35317"," 434"
"O35326"," 269"
"O35344"," 521"
"O35345"," 536"
"O35350"," 713"
"O35375"," 931"
"O35381"," 247"
"O35382"," 975"
"O35405"," 488"
"O35435"," 395"
"O35445"," 180"
"O35459"," 327"
"O35465-2",NA
"O35474"," 480"
"O35495"," 469"
"O35551"," 862"
"O35566"," 253"
"O35593"," 310"
"O35594"," 676"
"O35598"," 749"
"O35604","1277"
"O35607","1038"
"O35615"," 995"
"O35621"," 262"
"O35623"," 118"
"O35639"," 323"
"O35640"," 327"
"O35643"," 943"
"O35657"," 409"
"O35664"," 513"
"O35671"," 200"
"O35682"," 320"
"O35685"," 332"
"O35691"," 725"
"O35704"," 473"
"O35737"," 449"
"O35740"," 269"
"O35841"," 504"
"Q64373"," 233"
"O35855"," 393"
"O35857"," 452"
"O35864"," 334"
"O35874"," 532"
"O35887"," 315"
"O35900","  95"
"O35914"," 961"
"O35943"," 207"
"O35954","1243"
"O35955"," 273"
"O35963"," 229"
"O35969"," 236"
"O35972"," 146"
"O35988"," 198"
"O54692"," 779"
"O54724"," 392"
"O54734"," 441"
"O54750"," 501"
"O88325"," 739"
"O54774","1199"
"O54782","1018"
"O54784"," 448"
"Q8CA98"," 265"
"O54790"," 162"
"O54825"," 436"
"O54833"," 350"
"O54879"," 200"
"O54890"," 787"
"O54910"," 364"
"O54918"," 196"
"O54941"," 411"
"O54946"," 365"
"O54950"," 330"
"O54962","  89"
"O54965"," 381"
"O54984"," 348"
"O54998"," 218"
"O55013"," 180"
"O55022"," 195"
"O55029"," 905"
"O55033"," 380"
"O55057"," 150"
"O55091"," 318"
"O55106"," 780"
"O55125"," 284"
"O55126"," 281"
"O55131"," 436"
"O55135"," 245"
"O55137"," 419"
"O55142"," 110"
"O55143","1044"
"O55187"," 551"
"O55201","1082"
"O55222"," 452"
"O55229"," 394"
"O55234"," 264"
"O55236"," 597"
"O55239"," 264"
"O70152"," 260"
"O70172"," 405"
"O70194"," 548"
"O70251"," 225"
"O70252"," 315"
"O70274"," 167"
"O70279"," 479"
"O70281"," 370"
"O70293"," 576"
"O70309"," 798"
"O70310"," 496"
"O70318"," 988"
"O70326"," 184"
"O70378"," 207"
"O70400"," 327"
"O70421"," 642"
"O70422"," 463"
"O70423"," 765"
"O70433"," 279"
"O70435"," 255"
"O70439"," 261"
"O70456"," 248"
"O70475"," 493"
"O70480"," 141"
"O70481","1757"
"O70494"," 783"
"O70496"," 803"
"O70503"," 312"
"O70551"," 648"
"P62264"," 151"
"O70572"," 419"
"O70583"," 680"
"O70589-3",NA
"O70591"," 154"
"P01899"," 362"
"O88271"," 295"
"O88322","1403"
"O88342"," 606"
"O88413"," 460"
"O88428"," 621"
"O88441"," 263"
"O88477"," 577"
"O88508"," 908"
"O88512"," 791"
"O88520"," 582"
"O88531"," 306"
"O88532","1074"
"O88543"," 423"
"O88544"," 406"
"O88569"," 353"
"O88569-3",NA
"O88572","1613"
"O88587"," 265"
"O88597"," 448"
"O88630"," 250"
"O88632"," 785"
"O88653"," 124"
"O88665"," 651"
"O88667"," 308"
"O88668"," 220"
"O88673"," 730"
"O88696"," 272"
"O88736"," 334"
"O88746"," 492"
"O88792"," 300"
"O88796"," 268"
"O88811"," 523"
"O88822"," 299"
"O88839"," 864"
"O88845"," 662"
"O88848"," 186"
"O88852"," 379"
"O88856"," 376"
"O88874"," 554"
"O88879","1249"
"O88888"," 571"
"O88952"," 197"
"O88958"," 289"
"O88967"," 715"
"O88983"," 236"
"O88986"," 416"
"O88990"," 900"
"O89001","1377"
"O89013"," 131"
"O89016"," 606"
"O89023"," 562"
"O89032","1124"
"O89050"," 735"
"O89051"," 266"
"O89079"," 308"
"O89086"," 153"
"O89112"," 399"
"O89116"," 217"
"P06339"," 357"
"P00375"," 187"
"P00397"," 514"
"P00493"," 218"
"P00520","1123"
"P01027","1663"
"P01831"," 162"
"P01887"," 119"
"P01901"," 369"
"P84244"," 136"
"P02463","1669"
"P02798","  61"
"P02802","  61"
"P03911"," 459"
"P03958"," 352"
"P04117"," 132"
"P04370"," 250"
"P04627"," 604"
"P04918"," 122"
"P04925"," 254"
"P05063"," 363"
"P05064"," 364"
"P05132"," 351"
"P05201"," 413"
"P05202"," 430"
"P05533"," 134"
"P06745"," 558"
"P06797"," 334"
"P06801"," 572"
"P06869"," 433"
"P07141"," 552"
"P07214"," 302"
"P07356"," 339"
"P07607"," 307"
"P07742"," 792"
"P07901"," 733"
"P08030"," 180"
"P08113"," 802"
"P08121","1464"
"P08207","  97"
"P08228"," 154"
"P08249"," 338"
"P08752"," 355"
"P09055"," 798"
"P09103"," 509"
"P09405"," 707"
"P09411"," 417"
"P09450"," 344"
"P09528"," 182"
"P09671"," 222"
"P09926"," 257"
"P0C605-2",NA
"P0C7N9"," 123"
"P0C7T6"," 687"
"P0CG14"," 533"
"P0DN34","  57"
"P10126"," 462"
"P10287"," 822"
"P10493","1245"
"P10518"," 330"
"P10605"," 339"
"P10630"," 407"
"P10639"," 105"
"P10649"," 218"
"P10711"," 301"
"P10810"," 366"
"P10833"," 218"
"P10852"," 526"
"P10922"," 194"
"P11031"," 127"
"P11087","1453"
"P11157"," 390"
"P11214"," 559"
"P11276","2477"
"P11352"," 201"
"P11438"," 406"
"P11440"," 297"
"P11499"," 724"
"P11688","1053"
"P11862"," 314"
"P11881","2749"
"P11928"," 367"
"P11930"," 357"
"P11983"," 556"
"P12023"," 770"
"P12032"," 205"
"P12265"," 648"
"P12382"," 780"
"P12388"," 415"
"P12399"," 137"
"P12787"," 146"
"P12815-2",NA
"P12970"," 266"
"P13020"," 780"
"P13439"," 481"
"P13864","1620"
"P14069","  89"
"P14094"," 304"
"P14115"," 148"
"P14148"," 270"
"P14152"," 334"
"P14576"," 504"
"P14602"," 209"
"P14685"," 530"
"P14733"," 588"
"P14824"," 673"
"P14869"," 317"
"P14873","2464"
"P14901"," 289"
"P15066"," 341"
"P15105"," 373"
"P15116"," 906"
"P15261"," 477"
"P15532"," 152"
"P15533"," 496"
"P15535"," 399"
"P15626"," 218"
"P15655"," 154"
"P15864"," 212"
"P15920"," 856"
"P16045"," 135"
"P16054"," 737"
"P16092"," 822"
"P16110"," 264"
"P16125"," 334"
"P16254"," 110"
"P16332"," 748"
"P16382"," 810"
"P16406"," 945"
"P16460"," 412"
"P16882"," 650"
"P16951"," 487"
"Q9CZU7"," 415"
"P17125"," 410"
"P17156"," 633"
"P17182"," 434"
"P17183"," 434"
"P17426"," 977"
"P17427"," 938"
"P17439"," 515"
"P17563"," 472"
"P17665","  63"
"P17710"," 974"
"P17742"," 164"
"P17751"," 299"
"P17809"," 492"
"P17879"," 642"
"P17918"," 261"
"P18155"," 350"
"P18242"," 410"
"P18406"," 379"
"P18760"," 166"
"P18828"," 311"
"P18872-2",NA
"P19096","2504"
"P19157"," 210"
"P19253"," 203"
"P19324"," 417"
"P19426"," 375"
"P19536"," 128"
"P19788"," 104"
"P19973"," 330"
"P20029"," 655"
"P20060"," 536"
"P20065","  50"
"P20108"," 257"
"P20152"," 466"
"P20357","1828"
"P21126"," 157"
"P21278"," 359"
"P21279"," 359"
"P21300"," 316"
"P21460"," 140"
"P21550"," 434"
"P21619"," 596"
"P21956"," 463"
"P21981"," 686"
"P21995"," 330"
"P22366"," 296"
"P22437"," 602"
"P22682"," 913"
"P22725"," 380"
"P22892"," 822"
"P22907"," 361"
"P23116","1344"
"P23242"," 382"
"P23492"," 289"
"P23591"," 321"
"P23780"," 647"
"P23927"," 175"
"P23949"," 484"
"P23950"," 338"
"P24270"," 527"
"P24288"," 386"
"P24369"," 216"
"P24472"," 222"
"P24527"," 611"
"P24547"," 514"
"P24549"," 501"
"P24638"," 423"
"P24668"," 278"
"P24788"," 784"
"P25206"," 812"
"P25233"," 325"
"P25322"," 295"
"P25444"," 293"
"P25446"," 327"
"P25785"," 220"
"P25799"," 971"
"P25911"," 512"
"P25916"," 324"
"P26039","2541"
"P26040"," 586"
"P26041"," 577"
"P26231"," 906"
"P26350"," 111"
"P26369"," 475"
"P26443"," 558"
"P26450"," 724"
"P26618","1089"
"P26638"," 512"
"P26645"," 309"
"P26883"," 108"
"P26952"," 396"
"P27046","1150"
"P27048"," 231"
"P27600"," 379"
"P27601"," 377"
"P27612"," 794"
"P27641"," 732"
"P27659"," 403"
"P27661"," 143"
"P27773"," 505"
"P27808"," 447"
"P28028"," 804"
"P28033"," 296"
"P28271"," 889"
"P28301"," 411"
"P28352"," 317"
"P28474"," 374"
"P28571"," 692"
"P28653"," 369"
"P28654"," 354"
"P28656"," 391"
"P28658"," 475"
"P28659"," 486"
"P28667"," 200"
"P28740-2",NA
"P28798"," 589"
"P28828","1452"
"P28862"," 477"
"P28867"," 674"
"P29268"," 348"
"P29341"," 636"
"P29387"," 340"
"P29416"," 528"
"P29533"," 739"
"Q544V4"," 345"
"P29595","  81"
"P29758"," 439"
"P30115"," 221"
"P30275"," 418"
"P30285"," 303"
"P30412"," 212"
"P30415","1453"
"P30416"," 458"
"P30681"," 210"
"P31230"," 310"
"P31324"," 416"
"P31428"," 410"
"P31750"," 480"
"P31786","  87"
"P31938"," 393"
"P32020"," 547"
"P32067"," 415"
"P32233"," 367"
"P32261"," 465"
"P32507-2",NA
"P32883"," 189"
"P32921"," 481"
"P33215"," 660"
"P33434"," 662"
"P33611"," 600"
"P34022"," 203"
"P34884"," 115"
"P35235"," 593"
"P35276"," 219"
"P35278"," 216"
"P35279"," 208"
"P35282"," 222"
"P35285"," 194"
"P35290"," 203"
"P35293"," 206"
"P35456"," 327"
"P35486"," 390"
"P35505"," 419"
"P35550"," 327"
"P35564"," 591"
"P35569","1233"
"P35585"," 423"
"P35700"," 199"
"P35762"," 236"
"P35802"," 278"
"P35821"," 432"
"P35831"," 775"
"P35917","1363"
"P35922-9",NA
"P35951"," 862"
"P35980"," 188"
"P36371"," 702"
"P36552"," 443"
"P36916"," 607"
"P36993"," 390"
"P37040"," 678"
"P37172"," 509"
"P37804"," 201"
"P37889","1221"
"P38060"," 325"
"P38585"," 377"
"P38647"," 679"
"P39053-6",NA
"P39054"," 870"
"P39098"," 641"
"P39429"," 501"
"P39876"," 211"
"P40124"," 474"
"P40142"," 623"
"P40201","1711"
"P40237"," 266"
"P40240"," 226"
"P40336"," 327"
"P40338"," 181"
"P40936"," 264"
"P41105"," 137"
"P41230","1554"
"P41241"," 450"
"P41438"," 512"
"P41731"," 238"
"P41778"," 430"
"P42125"," 289"
"P42128"," 719"
"P42227"," 770"
"P42230"," 793"
"P42232"," 786"
"P42337","1068"
"P42567"," 897"
"P42669"," 321"
"P42867"," 410"
"P42932"," 548"
"P43024"," 111"
"P43135"," 414"
"P43247"," 935"
"P43274"," 219"
"P43275"," 213"
"P43276"," 223"
"P43406","1044"
"P43407"," 202"
"P43883"," 425"
"P45376"," 316"
"P45377"," 316"
"P45591"," 166"
"P45700"," 655"
"P45878"," 140"
"P45952"," 421"
"P46061"," 589"
"P46414"," 197"
"P46460"," 744"
"P46467"," 444"
"P46471"," 433"
"P46656"," 188"
"P46662"," 596"
"P46737"," 291"
"P46938"," 488"
"P46978"," 705"
"P47199"," 331"
"P47713"," 748"
"P47738"," 519"
"P47739"," 453"
"P47754"," 286"
"Q923G3"," 272"
"P47791"," 500"
"P47809"," 397"
"P47811"," 360"
"P47856"," 697"
"P47857"," 780"
"P47878"," 292"
"P47879"," 254"
"P47880"," 238"
"P47911"," 296"
"P47930"," 326"
"P47955"," 114"
"P47962"," 297"
"P47963"," 211"
"P47968"," 303"
"P48024"," 113"
"P48036"," 319"
"P48410"," 736"
"P48428"," 108"
"P48441"," 634"
"P48722"," 838"
"P48759"," 381"
"P48771","  83"
"P48774"," 224"
"P48962"," 298"
"P49070"," 294"
"P49138"," 386"
"P49282-2",NA
"P49442"," 396"
"P49443"," 382"
"P49586"," 367"
"P49615"," 292"
"P49717"," 862"
"P49718"," 734"
"P49722"," 234"
"P49769"," 467"
"P49813"," 359"
"P49817"," 178"
"P49935"," 333"
"P49962","  86"
"P50171"," 259"
"P50172"," 292"
"P50247"," 432"
"P50285"," 532"
"P50295"," 290"
"P50396"," 447"
"P50427"," 624"
"P50428"," 506"
"P50431"," 478"
"P50516"," 617"
"P50518"," 226"
"P50543","  98"
"P50544"," 656"
"P50580"," 394"
"P50637"," 169"
"P51125"," 788"
"P51141"," 695"
"P51150"," 207"
"P51163"," 265"
"P51175"," 477"
"P51410"," 192"
"P51432","1234"
"P51480"," 168"
"P51569"," 419"
"P51655"," 557"
"P51660"," 735"
"P51829","1099"
"P51855"," 474"
"P51859"," 237"
"P51863"," 351"
"P51881"," 298"
"P51885"," 338"
"P51949"," 309"
"P52019"," 572"
"P52293"," 529"
"P52432"," 346"
"P52479"," 792"
"P52480"," 531"
"P52480-2",NA
"P52503"," 116"
"P52592"," 352"
"P52623"," 277"
"P52633"," 837"
"P52734"," 960"
"P52760"," 135"
"P52795"," 345"
"P52800"," 336"
"P52825"," 658"
"P52875"," 323"
"P52912"," 386"
"P52927"," 108"
"P53395"," 482"
"P53612"," 339"
"P53690"," 582"
"P53702"," 272"
"P53762"," 791"
"P53798"," 416"
"P53810"," 271"
"P53986"," 493"
"P53994"," 212"
"P53996"," 178"
"P54071"," 452"
"P54103"," 621"
"P54116"," 284"
"P54227"," 149"
"P54276","1358"
"P54726"," 363"
"P54728"," 416"
"P54731"," 649"
"P54751"," 337"
"P54754"," 993"
"P54763"," 986"
"P54775"," 418"
"P54818"," 684"
"P54822"," 484"
"P54823"," 483"
"P54923"," 362"
"P55041"," 295"
"P55065"," 493"
"P55096"," 659"
"P55097"," 329"
"P55258"," 207"
"P55264"," 361"
"P55288"," 796"
"P55302"," 360"
"P55821"," 179"
"P56135","  88"
"P56183"," 494"
"P56212"," 112"
"P56213"," 198"
"P56371"," 218"
"P56375"," 106"
"P56376","  99"
"P56379","  58"
"P56380"," 147"
"P56382","  52"
"P56387"," 116"
"P56389"," 146"
"P56391","  86"
"P56394","  63"
"P56480"," 529"
"P56564"," 543"
"P56581"," 421"
"P56695"," 890"
"P56812"," 126"
"P56873"," 199"
"P56959"," 518"
"P56960"," 887"
"P57080","1055"
"P57716"," 708"
"P57722"," 371"
"P57746"," 247"
"P57759"," 262"
"P57780"," 912"
"P57784"," 255"
"P57787"," 470"
"P58021"," 662"
"P58022"," 776"
"P58044"," 227"
"P58058"," 439"
"P58064"," 125"
"P58137"," 320"
"P58196"," 326"
"P58242"," 456"
"P58252"," 858"
"P58281"," 960"
"P58389"," 323"
"P58404"," 760"
"P58466"," 261"
"P58501"," 919"
"P58742"," 546"
"P58801"," 539"
"P58802"," 500"
"P58854"," 905"
"P58871","1720"
"P59016"," 617"
"P59017"," 434"
"P59024"," 211"
"P59114"," 706"
"P59222"," 833"
"P59235"," 380"
"P59266"," 262"
"P59279"," 216"
"P59325"," 429"
"P59326"," 559"
"P59383"," 733"
"P59672-2",NA
"P59708"," 125"
"P59941"," 334"
"P59999"," 168"
"P60122"," 456"
"P60229"," 445"
"P60335"," 356"
"P60521"," 117"
"P60603","  79"
"P60605"," 165"
"P60670"," 608"
"P60762"," 362"
"P60766"," 191"
"P60824"," 172"
"P60840"," 121"
"P60843"," 406"
"P60867"," 119"
"P60898"," 125"
"P61025","  79"
"P61027"," 200"
"P61028"," 207"
"P61082"," 183"
"P61087"," 200"
"P61161"," 394"
"P61164"," 376"
"P61166","  79"
"P61202"," 443"
"P61205"," 181"
"P61211"," 181"
"P61222"," 599"
"P61226"," 183"
"P61255"," 145"
"P61290"," 254"
"P61294"," 208"
"P61327"," 146"
"P61358"," 136"
"P61406","1418"
"P61514","  92"
"P61588"," 244"
"P61600"," 178"
"P61620"," 476"
"P61750"," 180"
"P61793"," 364"
"P61804"," 113"
"P61922"," 500"
"P61924"," 177"
"P61961","  85"
"P61963"," 342"
"P61965"," 334"
"P61967"," 158"
"P61971"," 127"
"P62071"," 204"
"P62073","  90"
"P62075","  95"
"P62077","  83"
"P62082"," 194"
"P62137"," 330"
"P62141"," 327"
"P62192"," 440"
"P62196"," 406"
"P62204",NA
"P62242"," 208"
"P62245"," 130"
"P62254"," 170"
"P62257"," 183"
"P62259","255"
"P62267","143"
"P62274"," 56"
"P62281","158"
"P62301","151"
"P62305"," 92"
"P62307"," 86"
"P62309"," 76"
"P62311","102"
"P62313"," 80"
"P62315","119"
"P62317","118"
"P62320","126"
"P62322"," 91"
"P62331","175"
"P62334","389"
"P62342","195"
"P62488","172"
"P62492","216"
"Q3UXU0","143"
"P62627"," 96"
"P62700","121"
"P62702","263"
"P62715","309"
"P62717","176"
"P62737","377"
"P62743","142"
"P62746","196"
"P62748","193"
"P62751","156"
"P62754","249"
"P62774","118"
"P62814","511"
"P62821","205"
"P62827","216"
"P62830","140"
"P62835","184"
"P62843","145"
"P62849","133"
"P62852","125"
"P62855","115"
"P62862"," 59"
"P62869","118"
"P62874","340"
