wt_1_t24	wt_2_t24	wt_3_t24	wt_4_t24	wt_1_t36	wt_2_t36	wt_3_t36	wt_4_t36	ko_1_t24	ko_2_t24	ko_3_t24	ko_4_t24	ko_1_t36	ko_2_t36	ko_3_t36	ko_4_t36	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	Fasta headers
1612000	1370700	1832600	1999400	1912600	1608100	1834400	1828700	2301600	2061800	1941700	1691200	1947600	1945800	1889700	1347100	39	39	34	66.5	66.5	60.8	58.004	0	323.31	159	P80317	P80317	T-complex protein 1 subunit zeta	Cct6a	sp|P80317|TCPZ_MOUSE T-complex protein 1 subunit zeta OS=Mus musculus OX=10090 GN=Cct6a PE=1 SV=3
1920800	1676400	2139100	2341400	2232700	1950200	2122500	2246300	2749700	2558100	2396100	2091300	2325700	2358300	2303200	1691700	41	41	41	71.6	71.6	71.6	60.629	0	323.31	183	P80318	P80318	T-complex protein 1 subunit gamma	Cct3	sp|P80318|TCPG_MOUSE T-complex protein 1 subunit gamma OS=Mus musculus OX=10090 GN=Cct3 PE=1 SV=1
547500	473130	689030	608230	659580	539790	664220	563610	773500	843840	526670	662850	649820	860210	483730	560070	24	24	24	58.1	58.1	58.1	50.304	0	323.31	61	P81117	P81117	Nucleobindin-2;Nesfatin-1	Nucb2	sp|P81117|NUCB2_MOUSE Nucleobindin-2 OS=Mus musculus OX=10090 GN=Nucb2 PE=1 SV=2
43296	34829	70912	73669	56113	46029	62478	63103	75676	87065	65581	76753	71325	85550	70104	60208	3	3	3	2.6	2.6	2.6	136.76	0.00016428	6.5854	3	P81122	P81122	Insulin receptor substrate 2	Irs2	sp|P81122|IRS2_MOUSE Insulin receptor substrate 2 OS=Mus musculus OX=10090 GN=Irs2 PE=1 SV=2
8858	7508.89990234375	10799	9785.900390625	10657	8920.7998046875	10722	10140	15165	12585	15645	10549	11740	11687	14462	9786.900390625	5	5	3	21.9	21.9	16	29.237	0	43.22	8	P81269	P81269	Cyclic AMP-dependent transcription factor ATF-1	Atf1	sp|P81269|ATF1_MOUSE Cyclic AMP-dependent transcription factor ATF-1 OS=Mus musculus OX=10090 GN=Atf1 PE=1 SV=1
81216	63358	248710	112300	113120	84712	232480	109850	149640	173180	82303	141930	128360	174040	74695	117190	11	11	11	26.2	26.2	26.2	47.984	0	64.778	18	P82343-2;P82343	P82343-2;P82343	N-acylglucosamine 2-epimerase	Renbp	sp|P82343-2|RENBP_MOUSE Isoform 2 of N-acylglucosamine 2-epimerase OS=Mus musculus OX=10090 GN=Renbp;sp|P82343|RENBP_MOUSE N-acylglucosamine 2-epimerase OS=Mus musculus OX=10090 GN=Renbp PE=1 SV=3
91214	77307	106620	82354	119330	101630	97677	74783	160900	171590	78520	132410	130800	161730	76718	112160	9	9	9	33.6	33.6	33.6	32.133	0	32.95	16	P82347	P82347	Delta-sarcoglycan	Sgcd	sp|P82347|SGCD_MOUSE Delta-sarcoglycan OS=Mus musculus OX=10090 GN=Sgcd PE=1 SV=1
35955	31506	39887	33651	46486	38930	38878	28679	55155	60734	32383	48777	48217	60185	32477	41335	5	5	5	21.6	21.6	21.6	34.872	0	43.26	9	P82349	P82349	Beta-sarcoglycan	Sgcb	sp|P82349|SGCB_MOUSE Beta-sarcoglycan OS=Mus musculus OX=10090 GN=Sgcb PE=1 SV=1
34219	28705	32359	27598	37024	34157	30379	26596	32784	29215	31832	24039	28824	29115	27676	20857	7	6	6	11.8	9.7	9.7	83.924	0	30.497	8	P83093	P83093	Stromal interaction molecule 2	Stim2	sp|P83093|STIM2_MOUSE Stromal interaction molecule 2 OS=Mus musculus OX=10090 GN=Stim2 PE=1 SV=2
5560	5549.10009765625	9436.2001953125	12165	6911.10009765625	5893.2998046875	10458	10123	14159	24379	9315.900390625	19926	11107	23589	11427	17073	14	2	2	9.1	1.9	1.9	146.71	0.0077681	2.1013	2	P83510-2;P83510	P83510-2;P83510	Traf2 and NCK-interacting protein kinase	Tnik	sp|P83510-2|TNIK_MOUSE Isoform 2 of Traf2 and NCK-interacting protein kinase OS=Mus musculus OX=10090 GN=Tnik;sp|P83510|TNIK_MOUSE Traf2 and NCK-interacting protein kinase OS=Mus musculus OX=10090 GN=Tnik PE=1 SV=2
485920	402270	497560	418510	563370	487350	465360	408980	520060	489850	432430	401620	447060	479260	406390	331130	35	35	30	16.1	16.1	13.9	225.4	0	145.63	49	P83741-4;P83741-5;P83741;P83741-2;P83741-3;P83741-6;Q3UH66-6;Q3UH66-2;Q3UH66-7;Q3UH66-4;Q3UH66-3;Q3UH66;Q3UH66-5;P83741-7;Q80UE6	P83741-4;P83741-5;P83741;P83741-2;P83741-3	Serine/threonine-protein kinase WNK1	Wnk1	sp|P83741-4|WNK1_MOUSE Isoform 4 of Serine/threonine-protein kinase WNK1 OS=Mus musculus OX=10090 GN=Wnk1;sp|P83741-5|WNK1_MOUSE Isoform 5 of Serine/threonine-protein kinase WNK1 OS=Mus musculus OX=10090 GN=Wnk1;sp|P83741|WNK1_MOUSE Serine/threonine-protei
157910	130370	186960	194690	187300	165370	188790	189780	259550	231240	260980	194300	228760	215320	267440	165820	10	10	10	71.8	71.8	71.8	12.405	0	155.86	18	P83870	P83870	PHD finger-like domain-containing protein 5A	Phf5a	sp|P83870|PHF5A_MOUSE PHD finger-like domain-containing protein 5A OS=Mus musculus OX=10090 GN=Phf5a PE=1 SV=1
356320	273380	345230	302600	356730	313310	314620	331490	323430	285420	235060	240140	250450	269040	236070	204530	8	8	8	43.4	43.4	43.4	12.441	0	16.865	38	P83882	P83882	60S ribosomal protein L36a	Rpl36a	sp|P83882|RL36A_MOUSE 60S ribosomal protein L36a OS=Mus musculus OX=10090 GN=Rpl36a PE=3 SV=2
100860	89767	106870	105870	120250	109110	103480	103750	133530	126410	119550	113000	120660	120370	113120	85079	10	10	10	28.2	28.2	28.2	51.1	0	82.604	12	P83887;Q8VCK3	P83887;Q8VCK3	Tubulin gamma-1 chain;Tubulin gamma-2 chain	Tubg1;Tubg2	sp|P83887|TBG1_MOUSE Tubulin gamma-1 chain OS=Mus musculus OX=10090 GN=Tubg1 PE=1 SV=1;sp|Q8VCK3|TBG2_MOUSE Tubulin gamma-2 chain OS=Mus musculus OX=10090 GN=Tubg2 PE=1 SV=1
182640	154000	240500	280880	239910	200400	258110	276610	401690	398200	459650	329320	364730	378680	464480	286990	9	9	8	38.9	38.9	30.3	21.418	0	233.93	19	P83917	P83917	Chromobox protein homolog 1	Cbx1	sp|P83917|CBX1_MOUSE Chromobox protein homolog 1 OS=Mus musculus OX=10090 GN=Cbx1 PE=1 SV=1
291020	233520	325690	287750	338780	278680	316620	270420	373980	352150	302930	286870	332320	334900	289580	239530	7	7	7	71.4	71.4	71.4	12.473	0	146.88	35	P83940	P83940	Transcription elongation factor B polypeptide 1	Tceb1	sp|P83940|ELOC_MOUSE Elongin-C OS=Mus musculus OX=10090 GN=Eloc PE=1 SV=1
1792100	1504900	2078900	1847400	2190600	1809200	2050400	1804000	2438900	2298900	2146100	1970900	2164700	2336400	2103200	1562300	17	17	5	71.8	71.8	33.1	20.697	0	323.31	129	P84078;P61205	P84078;P61205	ADP-ribosylation factor 1;ADP-ribosylation factor 3	Arf1;Arf3	sp|P84078|ARF1_MOUSE ADP-ribosylation factor 1 OS=Mus musculus OX=10090 GN=Arf1 PE=1 SV=2;sp|P61205|ARF3_MOUSE ADP-ribosylation factor 3 OS=Mus musculus OX=10090 GN=Arf3 PE=2 SV=2
299650	249250	312340	310320	349910	298150	302850	306640	391890	354070	347140	293360	335820	339590	327190	234340	13	7	6	65.6	35.6	27.8	20.529	0	96.643	34	P84084	P84084	ADP-ribosylation factor 5	Arf5	sp|P84084|ARF5_MOUSE ADP-ribosylation factor 5 OS=Mus musculus OX=10090 GN=Arf5 PE=1 SV=2
4860.7998046875	3774.80004882813	10260	13558	6343.39990234375	4832.5	11407	12398	8036.7001953125	7724.60009765625	5821	5985.10009765625	5549.7001953125	6421.7998046875	5636.10009765625	3828.69995117188	2	2	2	29.1	29.1	29.1	15.394	0	41.98	2	P84086	P84086	Complexin-2	Cplx2	sp|P84086|CPLX2_MOUSE Complexin-2 OS=Mus musculus OX=10090 GN=Cplx2 PE=1 SV=1
309830	265110	339070	376060	375070	321620	341680	350580	479420	470410	474920	375050	421840	443070	480050	313960	8	8	8	60.6	60.6	60.6	12.259	0	226.24	50	P84089	P84089	Enhancer of rudimentary homolog	Erh	sp|P84089|ERH_MOUSE Enhancer of rudimentary homolog OS=Mus musculus OX=10090 GN=Erh PE=1 SV=1
847130	698730	888300	701650	1015600	857820	841200	684410	996620	955610	815220	816970	880870	959450	807520	666990	23	23	23	49.9	49.9	49.9	49.654	0	244.59	59	P84091	P84091	AP-2 complex subunit mu	Ap2m1	sp|P84091|AP2M1_MOUSE AP-2 complex subunit mu OS=Mus musculus OX=10090 GN=Ap2m1 PE=1 SV=1
306180	263220	340380	267220	375500	318340	313980	241310	372390	347420	296500	304460	305760	357010	286800	245650	13	13	12	66.5	66.5	60.7	21.308	0	323.31	45	P84096	P84096	Rho-related GTP-binding protein RhoG	Rhog	sp|P84096|RHOG_MOUSE Rho-related GTP-binding protein RhoG OS=Mus musculus OX=10090 GN=Rhog PE=1 SV=1
719330	602180	750300	747920	846770	731830	752830	727450	760070	745810	614330	605210	654550	741970	594810	535810	14	14	14	41.8	41.8	41.8	23.466	0	196.61	79	P84099	P84099	60S ribosomal protein L19	Rpl19	sp|P84099|RL19_MOUSE 60S ribosomal protein L19 OS=Mus musculus OX=10090 GN=Rpl19 PE=1 SV=1
73097	59450	92786	74202	79366	65802	90386	84808	102340	97857	90835	83405	83961	90180	87097	74475	5	5	5	35.6	35.6	35.6	6.8998	0	14.138	11	P84102;O88892	P84102	Small EDRK-rich factor 2	Serf2	sp|P84102|SERF2_MOUSE Small EDRK-rich factor 2 OS=Mus musculus OX=10090 GN=Serf2 PE=1 SV=1
388490	324680	477630	532600	472770	389410	494560	511830	705900	677690	763940	553740	637680	632530	756380	470410	10	9	9	61.3	61.3	61.3	14.203	0	221.63	53	P84104-2;P84104	P84104-2;P84104	Serine/arginine-rich splicing factor 3	Srsf3	sp|P84104-2|SRSF3_MOUSE Isoform Short of Serine/arginine-rich splicing factor 3 OS=Mus musculus OX=10090 GN=Srsf3;sp|P84104|SRSF3_MOUSE Serine/arginine-rich splicing factor 3 OS=Mus musculus OX=10090 GN=Srsf3 PE=1 SV=1
89198	88752	104070	139550	124510	123560	122830	150290	161750	183460	180400	198930	135010	170790	173880	156350	8	1	1	54.4	23.5	23.5	15.388	0	154.87	14	P84228	P84228	Histone H3.2	Hist1h3b	sp|P84228|H32_MOUSE Histone H3.2 OS=Mus musculus OX=10090 GN=H3c2 PE=1 SV=2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4	1	0	3.6	1.3	0	139.12	0.0024531	2.9191	1	P84309;P84309-2	P84309;P84309-2	Adenylate cyclase type 5	Adcy5	sp|P84309|ADCY5_MOUSE Adenylate cyclase type 5 OS=Mus musculus OX=10090 GN=Adcy5 PE=1 SV=2;sp|P84309-2|ADCY5_MOUSE Isoform 2 of Adenylate cyclase type 5 OS=Mus musculus OX=10090 GN=Adcy5
73151	60081	95262	74832	89164	76774	91169	75952	104930	119250	93187	104270	89703	113220	94671	83557	4	4	4	39.3	39.3	39.3	22.417	0	106.59	8	P85094	P85094	Isochorismatase domain-containing protein 2A, mitochondrial	Isoc2a	sp|P85094|ISC2A_MOUSE Isochorismatase domain-containing protein 2A OS=Mus musculus OX=10090 GN=Isoc2a PE=1 SV=1
57615	47224	64098	53684	59015	62263	62680	56297	81216	78478	77850	51883	62392	80087	83485	68874	5	5	5	27.4	27.4	27.4	30.93	0	25.221	5	P97287-2;P97287	P97287-2;P97287	Induced myeloid leukemia cell differentiation protein Mcl-1 homolog	Mcl1	sp|P97287-2|MCL1_MOUSE Isoform 2 of Induced myeloid leukemia cell differentiation protein Mcl-1 homolog OS=Mus musculus OX=10090 GN=Mcl1;sp|P97287|MCL1_MOUSE Induced myeloid leukemia cell differentiation protein Mcl-1 homolog OS=Mus musculus OX=10090 GN=Mc
53386	43108	64608	53963	59371	55489	61809	53461	72717	99719	63510	89472	64771	97717	62617	70899	5	5	5	10.5	10.5	10.5	55.584	0	9.7553	6	P97290	P97290	Plasma protease C1 inhibitor	Serping1	sp|P97290|IC1_MOUSE Plasma protease C1 inhibitor OS=Mus musculus OX=10090 GN=Serping1 PE=1 SV=3
4663.7998046875	4869.89990234375	7321.60009765625	4726.2001953125	6197.39990234375	5205.89990234375	7642.10009765625	4577.89990234375	7699.2998046875	6796	5650.7998046875	4638.2998046875	6560	7276.89990234375	5747.7001953125	5718.60009765625	3	3	3	12.2	12.2	12.2	46.233	0	50.675	3	P97298	P97298	Pigment epithelium-derived factor	Serpinf1	sp|P97298|PEDF_MOUSE Pigment epithelium-derived factor OS=Mus musculus OX=10090 GN=Serpinf1 PE=1 SV=2
186190	150540	211810	166570	214900	181560	196710	163090	222380	247770	200790	203030	190480	244400	195480	176540	10	10	10	32.7	32.7	32.7	31.277	0	46.22	25	P97300-1;P97300;P97300-3;P97300-4	P97300-1;P97300;P97300-3;P97300-4	Neuroplastin	Nptn	sp|P97300-1|NPTN_MOUSE Isoform 1 of Neuroplastin OS=Mus musculus OX=10090 GN=Nptn;sp|P97300|NPTN_MOUSE Neuroplastin OS=Mus musculus OX=10090 GN=Nptn PE=1 SV=3;sp|P97300-3|NPTN_MOUSE Isoform 3 of Neuroplastin OS=Mus musculus OX=10090 GN=Nptn;sp|P97300-4|NPT
23684	19645	25879	24577	27219	24595	25606	21377	32812	31919	30395	27166	28494	32043	32324	23156	3	3	3	5.1	5.1	5.1	81.373	0.00016213	6.1322	3	P97302	P97302	Transcription regulator protein BACH1	Bach1	sp|P97302|BACH1_MOUSE Transcription regulator protein BACH1 OS=Mus musculus OX=10090 GN=Bach1 PE=1 SV=1
20386	15808	25276	26618	22387	17741	25209	25458	30676	27307	28055	22088	25735	26927	25436	20365	2	2	2	18	18	18	15.072	0	11.577	3	P97304	P97304	DNA-directed RNA polymerases I and III subunit RPAC2	Polr1d	sp|P97304|RPAC2_MOUSE DNA-directed RNA polymerases I and III subunit RPAC2 OS=Mus musculus OX=10090 GN=Polr1d PE=1 SV=1
12639	11254	11373	12047	15140	13873	12969	11808	16824	14871	15406	11268	14028	15101	14451	10160	2	2	2	2.3	2.3	2.3	111.91	0.00017277	8.4358	2	P97305-3;P97305-2;P97305	P97305-3;P97305-2;P97305	Nuclear factor of activated T-cells, cytoplasmic 3	Nfatc3	sp|P97305-3|NFAC3_MOUSE Isoform Delta-X of Nuclear factor of activated T-cells, cytoplasmic 3 OS=Mus musculus OX=10090 GN=Nfatc3;sp|P97305-2|NFAC3_MOUSE Isoform X2 of Nuclear factor of activated T-cells, cytoplasmic 3 OS=Mus musculus OX=10090 GN=Nfatc3;sp|
191000	170680	235360	340240	238570	208520	247620	315740	305690	263890	307220	228900	238380	229420	262970	161460	18	18	18	26.2	26.2	26.2	102.08	0	202.07	28	P97310	P97310	DNA replication licensing factor MCM2	Mcm2	sp|P97310|MCM2_MOUSE DNA replication licensing factor MCM2 OS=Mus musculus OX=10090 GN=Mcm2 PE=1 SV=3
129590	116600	178380	263120	168860	139490	183540	238170	216010	192400	229370	167740	170170	158920	192230	113500	21	21	21	31.3	31.3	31.3	92.866	0	116.52	25	P97311	P97311	DNA replication licensing factor MCM6	Mcm6	sp|P97311|MCM6_MOUSE DNA replication licensing factor MCM6 OS=Mus musculus OX=10090 GN=Mcm6 PE=1 SV=1
2357200	1955400	1017000	865870	2801400	2395600	940790	815400	1069300	1102800	779990	779200	912260	1084700	756600	682110	14	14	14	72	72	72	20.926	0	323.31	113	P97314	P97314	Cysteine and glycine-rich protein 2	Csrp2	sp|P97314|CSRP2_MOUSE Cysteine and glycine-rich protein 2 OS=Mus musculus OX=10090 GN=Csrp2 PE=1 SV=3
4053200	3527800	2912100	2058800	4726300	4116900	2692500	1880300	3323800	3159800	1622300	2391300	2891000	3079300	1460400	1869100	16	16	16	68.9	68.9	68.9	20.583	0	323.31	221	P97315	P97315	Cysteine and glycine-rich protein 1	Csrp1	sp|P97315|CSRP1_MOUSE Cysteine and glycine-rich protein 1 OS=Mus musculus OX=10090 GN=Csrp1 PE=1 SV=3
1557.80004882813	1810.19995117188	2740.5	3488.89990234375	2404	2235.80004882813	2733.39990234375	3215.5	6524.2998046875	5552.2001953125	7104.2998046875	3357	4937.10009765625	4487.10009765625	8562.5	3787.60009765625	1	1	1	2.6	2.6	2.6	84.095	0.00089127	3.5532	1	P97321-3;P97321-2;P97321	P97321-3;P97321-2;P97321	Prolyl endopeptidase FAP;Antiplasmin-cleaving enzyme FAP, soluble form	Fap	sp|P97321-3|SEPR_MOUSE Isoform 3 of Prolyl endopeptidase FAP OS=Mus musculus OX=10090 GN=Fap;sp|P97321-2|SEPR_MOUSE Isoform 2 of Prolyl endopeptidase FAP OS=Mus musculus OX=10090 GN=Fap;sp|P97321|SEPR_MOUSE Prolyl endopeptidase FAP OS=Mus musculus OX=10090
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	2	2	2.5	2.5	2.5	99.875	0.0010324	3.395	4	P97329	P97329	Kinesin-like protein KIF20A	Kif20a	sp|P97329|KI20A_MOUSE Kinesin-like protein KIF20A OS=Mus musculus OX=10090 GN=Kif20a PE=1 SV=1
336170	269470	444460	441330	433470	365470	430720	411620	421260	881900	355070	797520	364640	867690	361340	617840	24	24	24	32.9	32.9	32.9	103	0	323.31	47	P97333	P97333	Neuropilin-1	Nrp1	sp|P97333|NRP1_MOUSE Neuropilin-1 OS=Mus musculus OX=10090 GN=Nrp1 PE=1 SV=2
238820	203100	234800	276870	297760	262370	258260	289160	334570	286850	348470	238920	298660	270850	345970	191080	15	15	15	49	49	49	48.343	0	323.31	32	P97346;P97346-2	P97346;P97346-2	Nucleoredoxin	Nxn	sp|P97346|NXN_MOUSE Nucleoredoxin OS=Mus musculus OX=10090 GN=Nxn PE=1 SV=1;sp|P97346-2|NXN_MOUSE Isoform 2 of Nucleoredoxin OS=Mus musculus OX=10090 GN=Nxn
11535	9142.7001953125	11048	10675	13418	12395	12283	11564	16482	13236	13084	10023	13236	12307	12964	7836.89990234375	5	5	5	34.3	34.3	34.3	23.562	0	36.244	5	P97348	P97348	Rho-related GTP-binding protein RhoD	Rhod	sp|P97348|RHOD_MOUSE Rho-related GTP-binding protein RhoD OS=Mus musculus OX=10090 GN=Rhod PE=1 SV=1
1928200	1626200	1989100	2129000	2218500	1958100	2001100	2018800	2253000	2200200	1990700	1782800	1868500	2108800	1983400	1583900	29	29	29	71.6	71.6	71.6	29.885	0	323.31	162	P97351	P97351	40S ribosomal protein S3a	Rps3a	sp|P97351|RS3A_MOUSE 40S ribosomal protein S3a OS=Mus musculus OX=10090 GN=Rps3a PE=1 SV=3
514090	430870	565220	370480	597480	501670	517210	316680	563240	472180	533460	367860	495700	473320	505200	299820	9	9	9	49	49	49	11.158	0	246.74	27	P97352	P97352	Protein S100-A13	S100a13	sp|P97352|S10AD_MOUSE Protein S100-A13 OS=Mus musculus OX=10090 GN=S100a13 PE=1 SV=1
51560	39518	78630	64426	62543	53287	70071	61326	60095	90911	54605	79447	54728	85094	54270	61732	6	6	6	18	18	18	41.313	0	36.725	9	P97355	P97355	Spermine synthase	Sms	sp|P97355|SPSY_MOUSE Spermine synthase OS=Mus musculus OX=10090 GN=Sms PE=1 SV=1
19048	15868	15279	17164	24074	18818	16878	17003	19959	16231	19271	14767	17118	15369	17536	10922	6	6	6	16.7	16.7	16.7	56.405	0	42.576	7	P97360	P97360	Transcription factor ETV6	Etv6	sp|P97360|ETV6_MOUSE Transcription factor ETV6 OS=Mus musculus OX=10090 GN=Etv6 PE=1 SV=1
79955	65286	72008	74065	91295	78916	72374	70067	96420	84400	68251	68906	77563	77385	69394	61682	12	12	12	24.1	24.1	24.1	62.981	0	72.386	17	P97363	P97363	Serine palmitoyltransferase 2	Sptlc2	sp|P97363|SPTC2_MOUSE Serine palmitoyltransferase 2 OS=Mus musculus OX=10090 GN=Sptlc2 PE=1 SV=2
23934	20783	24932	24752	29409	24844	25174	24246	26238	29468	25814	24391	24170	29574	22731	22183	2	2	2	6.4	6.4	6.4	47.833	0.0069541	2.1493	2	P97364	P97364	Selenide, water dikinase 2	Sephs2	sp|P97364|SPS2_MOUSE Selenide, water dikinase 2 OS=Mus musculus OX=10090 GN=Sephs2 PE=1 SV=3
57859	49230	83339	73955	72907	63964	79984	71774	80435	87102	68792	75834	78522	85519	64575	59733	14	14	14	17.8	17.8	17.8	92.942	0	29.934	14	P97366	P97366	Ecotropic viral integration site 5 protein	Evi5	sp|P97366|EVI5_MOUSE Ecotropic viral integration site 5 protein OS=Mus musculus OX=10090 GN=Evi5 PE=1 SV=2
10903	9157.400390625	13046	10996	14121	12495	11784	10445	16595	14928	13711	13980	16115	16023	13046	10621	2	2	2	5.3	5.3	5.3	39.664	0.00088981	3.5245	5	P97368-2;Q60954-3;P97368;Q60954;P97367-3;P97367-2;Q60954-2;P97367-4;P97367	P97368-2;Q60954-3;P97368;Q60954;P97367-3;P97367-2;Q60954-2;P97367-4;P97367	Homeobox protein Meis3;Homeobox protein Meis1;Homeobox protein Meis2	Meis3;Meis1;Meis2	sp|P97368-2|MEIS3_MOUSE Isoform 2 of Homeobox protein Meis3 OS=Mus musculus OX=10090 GN=Meis3;sp|Q60954-3|MEIS1_MOUSE Isoform 3 of Homeobox protein Meis1 OS=Mus musculus OX=10090 GN=Meis1;sp|P97368|MEIS3_MOUSE Homeobox protein Meis3 OS=Mus musculus OX=1009
435720	367260	366740	330020	511840	418000	336030	301720	366270	421260	266840	372140	301750	404910	243550	270010	13	13	13	48.9	48.9	48.9	31.775	0	88.577	28	P97370	P97370	Sodium/potassium-transporting ATPase subunit beta-3	Atp1b3	sp|P97370|AT1B3_MOUSE Sodium/potassium-transporting ATPase subunit beta-3 OS=Mus musculus OX=10090 GN=Atp1b3 PE=1 SV=1
368270	316220	373050	360850	469570	392310	393510	361780	548440	589590	559840	521590	520440	595520	593550	415530	17	17	16	77.1	77.1	72.7	28.673	0	152.89	42	P97371	P97371	Proteasome activator complex subunit 1	Psme1	sp|P97371|PSME1_MOUSE Proteasome activator complex subunit 1 OS=Mus musculus OX=10090 GN=Psme1 PE=1 SV=2
274620	237950	293330	272200	337910	296900	301150	287250	425760	455410	421970	401150	391950	446140	431080	333490	14	13	13	67.4	62.8	62.8	27.057	0	253.52	29	P97372	P97372	Proteasome activator complex subunit 2	Psme2	sp|P97372|PSME2_MOUSE Proteasome activator complex subunit 2 OS=Mus musculus OX=10090 GN=Psme2 PE=1 SV=4
72354	61280	86691	98698	93752	76732	86285	91590	127860	118980	136470	97907	116680	116420	132600	84967	10	10	10	40.3	40.3	40.3	29.127	0	32.913	12	P97376	P97376	Protein FRG1	Frg1	sp|P97376|FRG1_MOUSE Protein FRG1 OS=Mus musculus OX=10090 GN=Frg1 PE=1 SV=2
44218	39815	58520	75203	56220	49367	61145	71149	69224	71200	63116	64342	55855	59408	57961	47019	12	10	10	43	36.6	36.6	33.887	0	41.198	11	P97377-2;P97377;Q80YP0	P97377-2;P97377	Cyclin-dependent kinase 2	Cdk2	sp|P97377-2|CDK2_MOUSE Isoform CDK2-alpha of Cyclin-dependent kinase 2 OS=Mus musculus OX=10090 GN=Cdk2;sp|P97377|CDK2_MOUSE Cyclin-dependent kinase 2 OS=Mus musculus OX=10090 GN=Cdk2 PE=1 SV=2
278270	226120	323640	324350	331310	265940	330950	309650	388110	361910	308750	302750	333000	341840	298530	240180	14	12	1	26.6	23.9	2.1	54.087	0	58.044	28	P97379	P97379	Ras GTPase-activating protein-binding protein 2	G3bp2	sp|P97379|G3BP2_MOUSE Ras GTPase-activating protein-binding protein 2 OS=Mus musculus OX=10090 GN=G3bp2 PE=1 SV=2
2071.60009765625	932.599975585938	2374.5	2768	2464.89990234375	1306.09997558594	1926.90002441406	2006.69995117188	2223.89990234375	2248.60009765625	2273.69995117188	2088.5	2266.60009765625	2429.60009765625	2287.10009765625	1557.80004882813	14	1	1	30.7	4.5	4.5	50.784	0.00030974	4.7012	2	P97379-2	P97379-2	Ras GTPase-activating protein-binding protein 2	G3bp2	sp|P97379-2|G3BP2_MOUSE Isoform B of Ras GTPase-activating protein-binding protein 2 OS=Mus musculus OX=10090 GN=G3bp2
530560	455550	544320	433190	638970	556660	509970	401340	697930	665090	598130	549750	619600	631260	603490	452100	19	18	18	32.4	31.6	31.6	54.079	0	219.43	64	P97384	P97384	Annexin A11	Anxa11	sp|P97384|ANX11_MOUSE Annexin A11 OS=Mus musculus OX=10090 GN=Anxa11 PE=1 SV=2
35718	33547	41967	56668	46870	40701	45707	58174	51427	61294	52377	53469	47476	57763	46562	41605	11	11	11	12.7	12.7	12.7	106.43	0	35.743	12	P97386-2;P97386	P97386-2;P97386	DNA ligase 3	Lig3	sp|P97386-2|DNLI3_MOUSE Isoform Beta of DNA ligase 3 OS=Mus musculus OX=10090 GN=Lig3;sp|P97386|DNLI3_MOUSE DNA ligase 3 OS=Mus musculus OX=10090 GN=Lig3 PE=1 SV=2
84974	78675	93369	81867	115730	96223	91366	78368	117670	115240	109120	98870	104410	116130	114390	85643	12	12	12	21.8	21.8	21.8	65.052	0	39.926	14	P97390	P97390	Vacuolar protein sorting-associated protein 45	Vps45	sp|P97390|VPS45_MOUSE Vacuolar protein sorting-associated protein 45 OS=Mus musculus OX=10090 GN=Vps45 PE=1 SV=1
149630	125340	162200	163110	179720	157330	159940	166980	189920	183940	149850	149480	156000	182550	150340	128830	17	17	17	14	14	14	172.11	0	58.301	21	P97393	P97393	Rho GTPase-activating protein 5	Arhgap5	sp|P97393|RHG05_MOUSE Rho GTPase-activating protein 5 OS=Mus musculus OX=10090 GN=Arhgap5 PE=1 SV=2
36263	32022	17975	13551	49683	45990	18677	14380	19854	16279	18920	11749	17656	14018	19669	10725	3	3	3	9.6	9.6	9.6	36.011	0.00017247	8.3787	3	P97401	P97401	Secreted frizzled-related protein 3	Frzb	sp|P97401|SFRP3_MOUSE Secreted frizzled-related protein 3 OS=Mus musculus OX=10090 GN=Frzb PE=1 SV=1
10358	9414.2001953125	11712	11926	12531	10235	10843	10258	16779	11243	16030	9142.599609375	14084	9515.400390625	16500	7898.7998046875	4	4	4	8.5	8.5	8.5	52.303	0.00017004	7.8777	4	P97411-2;P97411	P97411-2;P97411	Islet cell autoantigen 1	Ica1	sp|P97411-2|ICA69_MOUSE Isoform 2 of Islet cell autoantigen 1 OS=Mus musculus OX=10090 GN=Ica1;sp|P97411|ICA69_MOUSE Islet cell autoantigen 1 OS=Mus musculus OX=10090 GN=Ica1 PE=1 SV=3
35575	30370	49764	39946	43167	35917	43041	37827	48684	48109	37945	43067	40684	44207	34297	30164	4	4	4	1.4	1.4	1.4	425.28	0.00017044	7.9781	5	P97412;P97412-2	P97412;P97412-2	Lysosomal-trafficking regulator	Lyst	sp|P97412|LYST_MOUSE Lysosomal-trafficking regulator OS=Mus musculus OX=10090 GN=Lyst PE=1 SV=1;sp|P97412-2|LYST_MOUSE Isoform 2 of Lysosomal-trafficking regulator OS=Mus musculus OX=10090 GN=Lyst
