Entry	Status	Protein names	Gene names	Length
Q8K021	reviewed	Secretory carrier-associated membrane protein 1 (Secretory carrier membrane protein 1)	Scamp1	338
Q8C8N2	reviewed	Protein SCAI (Suppressor of cancer cell invasion protein)	Scai	606
Q6DID3	reviewed	SR-related and CTD-associated factor 8 (RNA-binding motif protein 16)	Scaf8 Kiaa1116 Rbm16	1268
Q7TSH6	reviewed	SR-related and CTD-associated factor 4 (CTD-binding SR-like protein RA4) (Splicing factor, arginine/serine-rich 15)	Scaf4 Kiaa1172 Srsf15	1183
Q5U4C3	reviewed	Splicing factor, arginine/serine-rich 19 (SR-related and CTD-associated factor 1)	Scaf1 Sfrs19	1256
O88822	reviewed	Lathosterol oxidase (EC 1.14.19.20) (C-5 sterol desaturase) (Delta(7)-sterol 5-desaturase) (Delta(7)-sterol C5(6)-desaturase) (Lathosterol 5-desaturase) (Sterol-C5-desaturase)	Sc5d Sc5dl	299
Q3UPR9	reviewed	Somatomedin-B and thrombospondin type-1 domain-containing protein (RPE-spondin)	Sbspon Gm106 Rpesp	264
Q8CIT9	reviewed	Suprabasin	Sbsn	700
P15501	reviewed	Prostatic spermine-binding protein (SBP) (Major prostatic secretory glycoprotein) (P25)	Sbp	199
Q7TNB8	reviewed	Protein strawberry notch homolog 2	Sbno2 Sno Stno	1349
Q689Z5	reviewed	Protein strawberry notch homolog 1 (mSno1)	Sbno1 Sno1	1390
P0C5K0	reviewed	Uncharacterized serine/threonine-protein kinase SBK3 (EC 2.7.11.1) (SH3-binding domain kinase family member 3) (Sugen kinase 110)	Sbk3 Gm1078 Sgk110	361
P0C5K1	reviewed	Serine/threonine-protein kinase SBK2 (EC 2.7.11.1) (SH3-binding domain kinase family member 2) (Sugen kinase 69) (SgK069)	Sbk2 Sgk069	362
Q8QZX0	reviewed	Serine/threonine-protein kinase SBK1 (EC 2.7.11.1) (SH3-binding kinase 1)	Sbk1 Sbk	417
E9PXF8	reviewed	Myotubularin-related protein 13 (Inactive phosphatidylinositol 3-phosphatase 13) (SET-binding factor 2)	Sbf2	1872
Q6ZPE2	reviewed	Myotubularin-related protein 5 (Inactive phosphatidylinositol 3-phosphatase 5) (SET-binding factor 1) (Sbf1)	Sbf1 Kiaa3020 Mtmr5	1867
P70122	reviewed	Ribosome maturation protein SBDS (Protein 22A3) (Shwachman-Bodian-Diamond syndrome protein homolog)	Sbds	250
Q8K190	reviewed	SAYSvFN domain-containing protein 1	Saysd1	188
Q8BQB6	reviewed	Stabilizer of axonemal microtubules 2	Saxo2 Fam154b	394
Q8VEB2	reviewed	Protein salvador homolog 1 (45 kDa WW domain protein) (mWW45)	Sav1 Ww45 Wwp3	386
Q9D5N8	reviewed	Spermidine/spermine N(1)-acetyltransferase-like protein 1 (EC 2.3.1.-)	Satl1	744
Q8VI24	reviewed	DNA-binding protein SATB2 (Special AT-rich sequence-binding protein 2)	Satb2 Kiaa1034	733
Q60611	reviewed	DNA-binding protein SATB1 (Special AT-rich sequence-binding protein 1)	Satb1	764
Q6P8J2	reviewed	Diamine acetyltransferase 2 (EC 2.3.1.57) (Polyamine N-acetyltransferase 2) (Spermidine/spermine N(1)-acetyltransferase 2)	Sat2 Ssat2	170
P48026	reviewed	Diamine acetyltransferase 1 (EC 2.3.1.57) (Polyamine N-acetyltransferase 1) (Putrescine acetyltransferase) (Spermidine/spermine N(1)-acetyltransferase 1) (SSAT) (SSAT-1)	Sat1 Sat	171
Q80UK7	reviewed	Spindle assembly abnormal protein 6 homolog	Sass6 Sas6	654
Q8K352	reviewed	SAM and SH3 domain-containing protein 3 (SH3 protein expressed in lymphocytes)	Sash3 Sly	380
P59808	reviewed	SAM and SH3 domain-containing protein 1	Sash1	1230
Q9JLI8	reviewed	Squamous cell carcinoma antigen recognized by T-cells 3 (SART-3) (mSART-3) (Tumor-rejection antigen SART3)	Sart3 Kiaa0156	962
Q9Z315	reviewed	U4/U6.U5 tri-snRNP-associated protein 1 (Hypoxia-associated factor) (Squamous cell carcinoma antigen recognized by T-cells 1) (SART-1) (mSART-1)	Sart1 Haf	806
Q9JJL8	reviewed	Serine--tRNA ligase, mitochondrial (EC 6.1.1.11) (SerRSmt) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	Sars2 Sarsm	518
P26638	reviewed	Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	Sars1 Sars Sers	512
Q9D1J3	reviewed	SAP domain-containing ribonucleoprotein (Nuclear protein Hcc-1)	Sarnp Hcc1	210
Q6PDS3	reviewed	NAD(+) hydrolase SARM1 (NADase SARM1) (EC 3.2.2.6) (NADP(+) hydrolase SARM1) (EC 3.2.2.-) (Sterile alpha and TIR motif-containing protein 1)	Sarm1 Kiaa0524	724
Q8BI29	reviewed	Specifically androgen-regulated gene protein	Sarg	606
Q99LB7	reviewed	Sarcosine dehydrogenase, mitochondrial (SarDH) (EC 1.5.8.3)	Sardh	919
Q8R3Q0	reviewed	Store-operated calcium entry-associated regulatory factor (SARAF) (SOCE-associated regulatory factor) (Transmembrane protein 66)	Saraf Tmem66	334
Q9CQC9	reviewed	GTP-binding protein SAR1b	Sar1b Sara1b Sara2	198
P36536	reviewed	GTP-binding protein SAR1a	Sar1a Sara Sara1	198
Q9D818	reviewed	Suppressor APC domain-containing protein 2 (Protein Ang)	Sapcd2	391
Q9CY86	reviewed	Suppressor APC domain-containing protein 1 (Protein G7d)	Sapcd1 G7d Ng23	146
Q5SQF8	reviewed	Histone deacetylase complex subunit SAP30L (Sin3 corepressor complex subunit SAP30L) (Sin3-associated protein p30-like)	Sap30l	182
Q02614	reviewed	SAP30-binding protein (Transcriptional regulator protein HCNGP)	Sap30bp Hcngp	308
O88574	reviewed	Histone deacetylase complex subunit SAP30 (30 kDa Sin3-associated polypeptide) (Sin3 corepressor complex subunit SAP30) (Sin3-associated polypeptide p30)	Sap30	220
Q1EHW4	reviewed	Histone deacetylase complex subunit SAP25 (25 kDa Sin3-associated polypeptide) (Sin3 corepressor complex subunit SAP25) (mSin3A-binding protein)	Sap25	186
O55128	reviewed	Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (Sin3-associated polypeptide p18)	Sap18	153
Q8BIH0	reviewed	Histone deacetylase complex subunit SAP130 (130 kDa Sin3-associated polypeptide) (Sin3-associated polypeptide p130)	Sap130	1057
P57725	reviewed	SAM domain-containing protein SAMSN-1 (SAM domain, SH3 domain and nuclear localization signals protein 1) (SH3 protein expressed in lymphocytes 2) (SH3-lymphocyte protein 2) (SLy2)	Samsn1	372
Q8BGH2	reviewed	Sorting and assembly machinery component 50 homolog	Samm50	469
Q60710	reviewed	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 (dNTPase) (EC 3.1.5.-) (Interferon-gamma-inducible protein Mg11) (SAM domain and HD domain-containing protein 1) (mSAMHD1)	Samhd1 Mg21	658
Q69Z37	reviewed	Sterile alpha motif domain-containing protein 9-like (SAM domain-containing protein 9-like)	Samd9l Kiaa2005	1561
Q9DA37	reviewed	Sphingomyelin synthase-related protein 1 (SMSr) (EC 2.7.8.-) (Ceramide phosphoethanolamine synthase) (CPE synthase) (Sterile alpha motif domain-containing protein 8) (SAM domain-containing protein 8)	Samd8	478
Q8C8Y5	reviewed	Sterile alpha motif domain-containing protein 7 (SAM domain-containing protein 7)	Samd7	445
Q3V1H9	reviewed	Sterile alpha motif domain-containing protein 5 (SAM domain-containing protein 5)	Samd5	173
Q80XS6	reviewed	Protein Smaug homolog 2 (Smaug 2) (mSmaug2) (Sterile alpha motif domain-containing protein 4B)	Samd4b Smaug2	687
Q8CBY1	reviewed	Protein Smaug homolog 1 (Smaug 1) (mSmaug 1) (Sterile alpha motif domain-containing protein 4A)	Samd4a Samd4 Smaug1	711
Q8C4H2	reviewed	Sterile alpha motif domain-containing protein 3 (SAM domain-containing protein 3)	Samd3 Gm623	520
F6XZJ7	reviewed	Sterile alpha motif domain-containing protein 15 (SAM domain-containing protein 15)	Samd15 Gm263	620
Q8K070	reviewed	Sterile alpha motif domain-containing protein 14 (SAM domain-containing protein 14)	Samd14	417
D3YUG0	reviewed	Sterile alpha motif domain-containing protein 13 (SAM domain-containing protein 13)	Samd13 Gm1652	102
Q0VE29	reviewed	Sterile alpha motif domain-containing protein 12 (SAM domain-containing protein 12)	Samd12	161
Q1RNF8	reviewed	Sterile alpha motif domain-containing protein 11 (SAM domain-containing protein 11) (Major retinal SAM domain-containing protein) (Mr-s)	Samd11	542
Q7TST3	reviewed	Sterile alpha motif domain-containing protein 10 (SAM domain-containing protein 10)	Samd10	202
D3YXK1	reviewed	Atherin (Sterile alpha motif domain-containing protein 1) (SAM domain-containing protein 1)	Samd1	519
Q8BX22	reviewed	Sal-like protein 4 (Zinc finger protein SALL4)	Sall4	1067
Q62255	reviewed	Sal-like protein 3 (MSal) (Spalt-like protein 3)	Sall3 Sal	1320
Q9QX96	reviewed	Sal-like protein 2 (Spalt-like protein 2) (Zinc finger protein Spalt-2) (Sal-2) (mSal-2)	Sall2 Sal2	1004
Q9ER74	reviewed	Sal-like protein 1 (Zinc finger protein Spalt-3) (Sal-3) (mSal-3)	Sall1 Sal3	1322
P20443	reviewed	S-arrestin (48 kDa protein) (Retinal S-antigen) (S-AG) (Rod photoreceptor arrestin)	Sag	403
Q80YR5	reviewed	Scaffold attachment factor B2 (SAF-B2)	Safb2	991
D3YXK2	reviewed	Scaffold attachment factor B1 (SAF-B1)	Safb Safb1	937
Q9R1T2	reviewed	SUMO-activating enzyme subunit 1 (Ubiquitin-like 1-activating enzyme E1A) [Cleaved into: SUMO-activating enzyme subunit 1, N-terminally processed]	Sae1 Aos1 Sua1 Ubl1a1 Uble1a	350
Q9JLC8	reviewed	Sacsin (DnaJ homolog subfamily C member 29) (DNAJC29)	Sacs Kiaa0730	4582
Q9EP69	reviewed	Phosphatidylinositol-3-phosphatase SAC1 (EC 3.1.3.64) (Phosphatidylinositol-4-phosphate phosphatase) (Suppressor of actin mutations 1-like protein)	Sacm1l Kiaa0851 Sac1	587
A6H687	reviewed	SAC3 domain-containing protein 1 (SAC3 homology domain-containing protein 1)	Sac3d1 Shd1	427
Q9D2C2	reviewed	Protein SAAL1 (Synoviocyte proliferation-associated in collagen-induced arthritis protein 1) (SPACIA1)	Saal1	474
P31532	reviewed	Serum amyloid A-4 protein (Amyloid A-5 protein)	Saa4 Saa5	130
P04918	reviewed	Serum amyloid A-3 protein	Saa3	122
P05367	reviewed	Serum amyloid A-2 protein [Cleaved into: Amyloid protein A]	Saa2	122
P05366	reviewed	Serum amyloid A-1 protein	Saa1	122
Q91X56	reviewed	Sphingosine 1-phosphate receptor 5 (S1P receptor 5) (S1P5) (Endothelial differentiation G-protein-coupled receptor 8) (Lysophospholipid receptor B4) (Sphingosine 1-phosphate receptor Edg-8) (S1P receptor Edg-8)	S1pr5 Edg8 Lpb4	400
Q9Z0L1	reviewed	Sphingosine 1-phosphate receptor 4 (S1P receptor 4) (S1P4) (Endothelial differentiation G-protein coupled receptor 6) (Lysophospholipid receptor C1) (Sphingosine 1-phosphate receptor Edg-6) (S1P receptor Edg-6)	S1pr4 Edg6 Lpc1 S1p4	386
Q9Z0U9	reviewed	Sphingosine 1-phosphate receptor 3 (S1P receptor 3) (S1P3) (Endothelial differentiation G-protein coupled receptor 3) (Lysophospholipid receptor B3) (Sphingosine 1-phosphate receptor Edg-3) (S1P receptor Edg-3)	S1pr3 Edg3 Lpb3	378
P52592	reviewed	Sphingosine 1-phosphate receptor 2 (S1P receptor 2) (S1P2) (Endothelial differentiation G-protein coupled receptor 5) (Lysophospholipid receptor B2) (Sphingosine 1-phosphate receptor Edg-5) (S1P receptor Edg-5)	S1pr2 Edg5 Gpcr13 Lpb2	352
O08530	reviewed	Sphingosine 1-phosphate receptor 1 (S1P receptor 1) (S1P1) (Endothelial differentiation G-protein coupled receptor 1) (Lysophospholipid receptor B1) (Sphingosine 1-phosphate receptor Edg-1) (S1P receptor Edg-1) (CD antigen CD363)	S1pr1 Edg1 Lpb1	382
Q9D5K4	reviewed	S100P-binding protein	S100pbp	396
P97816	reviewed	Protein S100-G (Calbindin-D9k) (S100 calcium-binding protein G) (Vitamin D-dependent calcium-binding protein, intestinal) (CABP)	S100g Calb3 S100d	79
P50114	reviewed	Protein S100-B (S-100 protein beta chain) (S-100 protein subunit beta) (S100 calcium-binding protein B)	S100b	92
P31725	reviewed	Protein S100-A9 (Calgranulin-B) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (S100 calcium-binding protein A9)	S100a9 Cagb Mrp14	113
P27005	reviewed	Protein S100-A8 (Calgranulin-A) (Chemotactic cytokine CP-10) (Leukocyte L1 complex light chain) (Migration inhibitory factor-related protein 8) (MRP-8) (p8) (Pro-inflammatory S100 cytokine) (S100 calcium-binding protein A8)	S100a8 Caga Mrp8	89
P14069	reviewed	Protein S100-A6 (5B10) (Calcyclin) (Prolactin receptor-associated protein) (S100 calcium-binding protein A6)	S100a6 Cacy	89
P63084	reviewed	Protein S100-A5 (Protein S-100D) (S100 calcium-binding protein A5)	S100a5 S100d	93
P07091	reviewed	Protein S100-A4 (Metastasin) (Metastatic cell protein) (PEL98) (Placental calcium-binding protein) (Protein 18A2) (Protein Mts1) (S100 calcium-binding protein A4)	S100a4 Capl Mts1	101
P62818	reviewed	Protein S100-A3 (Protein S-100E) (S100 calcium-binding protein A3)	S100a3	101
Q9D708	reviewed	Protein S100-A16 (Protein S100F) (S100 calcium binding protein A16)	S100a16	124
Q6S5I3	reviewed	Protein S100-A15A (Protein S100-A7A) (S100 calcium-binding protein A15A) (S100 calcium-binding protein A7A)	S100a15a S100a15 S100a7 S100a7a	108
Q9D2Q8	reviewed	Protein S100-A14 (S100 calcium-binding protein A14) (S114)	S100a14 Gm1020 S100a15	104
P97352	reviewed	Protein S100-A13 (S100 calcium-binding protein A13)	S100a13	98
P50543	reviewed	Protein S100-A11 (Calgizzarin) (Endothelial monocyte-activating polypeptide) (EMAP) (Protein S100-C) (S100 calcium-binding protein A11)	S100a11 S100c	98
P08207	reviewed	Protein S100-A10 (Calpactin I light chain) (Calpactin-1 light chain) (Cellular ligand of annexin II) (S100 calcium-binding protein A10) (p10 protein) (p11)	S100a10 Cal1l	97
P56565	reviewed	Protein S100-A1 (S-100 protein alpha chain) (S-100 protein subunit alpha) (S100 calcium-binding protein A1)	S100a1	94
A2AGL3	reviewed	Ryanodine receptor 3 (RYR-3) (RyR3) (Brain ryanodine receptor-calcium release channel) (Brain-type ryanodine receptor) (Type 3 ryanodine receptor)	Ryr3	4863
E9Q401	reviewed	Ryanodine receptor 2 (RYR-2) (RyR2) (Cardiac muscle ryanodine receptor) (Cardiac muscle ryanodine receptor-calcium release channel) (Type 2 ryanodine receptor)	Ryr2	4966
E9PZQ0	reviewed	Ryanodine receptor 1 (RYR-1) (RyR1) (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-type ryanodine receptor) (Type 1 ryanodine receptor)	Ryr1	5035
Q01887	reviewed	Tyrosine-protein kinase RYK (EC 2.7.10.1) (Kinase VIK) (Met-related kinase) (NYK-R)	Ryk Mrk	594
Q8CCI5	reviewed	RING1 and YY1-binding protein (Death effector domain-associated factor) (DED-associated factor)	Rybp Dedaf	228
Q8VDX6	reviewed	Ribitol-5-phosphate xylosyltransferase 1 (EC 2.4.2.-) (Transmembrane protein 5) (UDP-D-xylose:ribitol-5-phosphate beta1,4-xylosyltransferase)	Rxylt1 Tmem5	444
P28705	reviewed	Retinoic acid receptor RXR-gamma (Nuclear receptor subfamily 2 group B member 3) (Retinoid X receptor gamma)	Rxrg Nr2b3	463
P28704	reviewed	Retinoic acid receptor RXR-beta (MHC class I regulatory element-binding protein H-2RIIBP) (Nuclear receptor subfamily 2 group B member 2) (Retinoid X receptor beta)	Rxrb Nr2b2	520
P28700	reviewed	Retinoic acid receptor RXR-alpha (Nuclear receptor subfamily 2 group B member 1) (Retinoid X receptor alpha)	Rxra Nr2b1	467
Q7TQP4	reviewed	Relaxin-3 receptor 2 (RLN3 receptor 2) (G-protein coupled receptor 100) (Insulin-like peptide INSL5 receptor) (Relaxin family peptide receptor 4)	Rxfp4 Gpr100 Rln3r2	414
Q8BGE9	reviewed	Relaxin-3 receptor 1 (RLN3 receptor 1) (G protein-coupled receptor SALPR homolog) (Relaxin family peptide receptor 3)	Rxfp3 Rln3r1 Salpr	472
Q91ZZ5	reviewed	Relaxin receptor 2 (G-protein coupled receptor 106) (G-protein coupled receptor affecting testicular descent) (Leucine-rich repeat-containing G-protein coupled receptor 8) (Relaxin family peptide receptor 2)	Rxfp2 Gpr106 Great Lgr8	737
Q6R6I7	reviewed	Relaxin receptor 1 (Leucine-rich repeat-containing G-protein coupled receptor 7) (Relaxin family peptide receptor 1)	Rxfp1 Gm1018 Lgr7	758
Q9CPR1	reviewed	RWD domain-containing protein 4	Rwdd4 Rwdd4a	188
Q8VIL2	reviewed	RWD domain-containing protein 3 (RWD domain-containing sumoylation enhancer) (RSUME)	Rwdd3 Rsume X2cr1	267
Q99M03	reviewed	RWD domain-containing protein 2B	Rwdd2b ORF5	290
Q9D9S3	reviewed	RWD domain-containing protein 2A	Rwdd2a Rwdd2	292
Q9CQK7	reviewed	RWD domain-containing protein 1 (DRG family-regulatory protein 2) (IH1)	Rwdd1 Dfrp2	243
Q9WTM5	reviewed	RuvB-like 2 (EC 3.6.4.12) (p47 protein)	Ruvbl2	463
P60122	reviewed	RuvB-like 1 (EC 3.6.4.12) (49 kDa TATA box-binding protein-interacting protein) (49 kDa TBP-interacting protein) (DNA helicase p50) (Pontin 52) (TIP49a)	Ruvbl1 Tip49 Tip49a	456
Q91W34	reviewed	RUS family member 1	Rusf1	466
Q80U22	reviewed	Iporin (Interacting protein of Rab1) (RUN and SH3 domain-containing protein 2)	Rusc2 Kiaa0375	1514
Q8BG26	reviewed	RUN and SH3 domain-containing protein 1	Rusc1	893
Q64131	reviewed	Runt-related transcription factor 3 (Acute myeloid leukemia 2 protein) (Core-binding factor subunit alpha-3) (CBF-alpha-3) (Oncogene AML-2) (Polyomavirus enhancer-binding protein 2 alpha C subunit) (PEA2-alpha C) (PEBP2-alpha C) (SL3-3 enhancer factor 1 alpha C subunit) (SL3/AKV core-binding factor alpha C subunit)	Runx3 Aml2 Cbfa3 Pebp2a3	409
Q08775	reviewed	Runt-related transcription factor 2 (Acute myeloid leukemia 3 protein) (Core-binding factor subunit alpha-1) (CBF-alpha-1) (Oncogene AML-3) (Osteoblast-specific transcription factor 2) (OSF-2) (Polyomavirus enhancer-binding protein 2 alpha A subunit) (PEA2-alpha A) (PEBP2-alpha A) (SL3-3 enhancer factor 1 alpha A subunit) (SL3/AKV core-binding factor alpha A subunit)	Runx2 Aml3 Cbfa1 Osf2 Pebp2a	607
Q61909	reviewed	Protein CBFA2T1 (Protein MTG8)	Runx1t1 Cbfa2t1 Cbfa2t1h Mtg8	577
Q03347	reviewed	Runt-related transcription factor 1 (Acute myeloid leukemia 1 protein) (Core-binding factor subunit alpha-2) (CBF-alpha-2) (Oncogene AML-1) (Polyomavirus enhancer-binding protein 2 alpha B subunit) (PEA2-alpha B) (PEBP2-alpha B) (SL3-3 enhancer factor 1 alpha B subunit) (SL3/AKV core-binding factor alpha B subunit)	Runx1 Aml1 Cbfa2 Pebp2ab	451
Q6PDC0	reviewed	RUN domain-containing protein 3B	Rundc3b Gm440	408
O08576	reviewed	RUN domain-containing protein 3A (Rap2-interacting protein 8) (RPIP-8)	Rundc3a Rap2ip Rpip8	446
Q0VDN7	reviewed	RUN domain-containing protein 1	Rundc1	615
Q3TYX8	reviewed	RUN and FYVE domain-containing protein 4	Rufy4	563
Q9D394	reviewed	Protein RUFY3 (Rap2-interacting protein x) (RIPx) (Single axon-regulated protein 1) (Singar1)	Rufy3 D5Bwg0860e Ripx	469
Q8R4C2	reviewed	RUN and FYVE domain-containing protein 2 (Leucine zipper FYVE-finger protein) (LZ-FYVE)	Rufy2 Kiaa1537	606
Q8BIJ7	reviewed	RUN and FYVE domain-containing protein 1 (Rab4-interacting protein)	Rufy1 Rabip4	712
Q3TD16	reviewed	Protein associated with UVRAG as autophagy enhancer (Pacer) (Protein Rubicon-like)	Rubcnl	648
Q80U62	reviewed	Run domain Beclin-1-interacting and cysteine-rich domain-containing protein (Rubicon)	Rubcn Kiaa0226	956
Q8R4Y8	reviewed	Rotatin	Rttn	2226
Q9CQE8	reviewed	RNA transcription, translation and transport factor protein	RTRAF	244
Q9ER80	reviewed	Receptor-transporting protein 4 (28 kDa interferon-responsive protein)	Rtp4 Ifrg28	249
Q5QGU6	reviewed	Receptor-transporting protein 3 (Transmembrane protein 7)	Rtp3 Tmem7	474
Q80ZI2	reviewed	Receptor-transporting protein 2	Rtp2 Gm605	223
Q8C8C1	reviewed	Receptor-transporting protein 1	Rtp1 Gm604	263
Q7M6Z0	reviewed	Reticulon-4 receptor-like 2 (Nogo receptor-like 3) (Nogo-66 receptor homolog 1) (Nogo-66 receptor-related protein 2) (NgR2)	Rtn4rl2 Ngrl3	420
Q8K0S5	reviewed	Reticulon-4 receptor-like 1 (Nogo receptor-like 2) (Nogo-66 receptor homolog 2) (Nogo-66 receptor-related protein 3) (NgR3)	Rtn4rl1 Ngrl2	445
Q99PI8	reviewed	Reticulon-4 receptor (Nogo receptor) (NgR) (Nogo-66 receptor) (Nogo66 receptor-1) (NgR1)	Rtn4r Ngr1 Nogor	473
Q924D0	reviewed	Reticulon-4-interacting protein 1, mitochondrial (NOGO-interacting mitochondrial protein)	Rtn4ip1 Nimp	396
Q99P72	reviewed	Reticulon-4 (Neurite outgrowth inhibitor) (Nogo protein)	Rtn4 Kiaa0886 Nogo	1162
Q9ES97	reviewed	Reticulon-3	Rtn3	964
O70622	reviewed	Reticulon-2 (Neuroendocrine-specific protein-like 1) (NSP-like protein 1) (Neuroendocrine-specific protein-like I) (NSP-like protein I) (NSPLI)	Rtn2 Nspl1	471
Q8K0T0	reviewed	Reticulon-1 (Neuroendocrine-specific protein)	Rtn1 Nsp	780
Q32KG4	reviewed	Retrotransposon Gag-like protein 9 (Retrotransposon gag domain-containing protein 1) (Sushi-XF2)	Rtl9 Gm385 Kiaa1318 Rgag1	1339
Q505G4	reviewed	Retrotransposon Gag-like protein 6 (Mammalian retrotransposon-derived protein 6) (Protein LDOC1L) (Protein Sushi-15E3)	Rtl6 Ldoc1l Mar6 Mart6 Sushi-15E3	243
Q5DTT4	reviewed	Retrotransposon Gag-like protein 5 (Retrotransposon gag domain-containing protein 4)	Rtl5 Kiaa2001 Rgag4	599
Q3URY0	reviewed	Retrotransposon Gag-like protein 4 (Mammalian retrotransposon-derived protein 4) (Sushi-XF2b protein) (Sushi-ichi-related retrotransposon homolog 11) (Zinc finger CCHC domain-containing protein 16)	Rtl4 Mar4 Mart4 Sirh11 Zcchc16	304
Q6P1Y1	reviewed	Retrotransposon Gag-like protein 3 (Zinc finger CCHC domain-containing protein 5)	Rtl3 Mar3 MArt3 Zcchc5	553
Q7M732	reviewed	Retrotransposon-like protein 1 (Mammalian retrotransposon derived protein 1) (Paternally expressed gene 11 protein) (Retrotransposon-derived protein PEG11)	Rtl1 Mar1 Mart1 Peg11	1744
Q14B46	reviewed	Rhotekin-2 (Pleckstrin homology domain-containing family K member 1) (PH domain-containing family K member 1)	Rtkn2 Plekhk1	604
Q8C6B2	reviewed	Rhotekin	Rtkn	564
Q99K95	reviewed	Replication termination factor 2 (RTF2) (Replication termination factor 2 domain-containing protein 1)	Rtf2 Rtfdc1	307
A2AQ19	reviewed	RNA polymerase-associated protein RTF1 homolog	Rtf1	715
Q0VGM9	reviewed	Regulator of telomere elongation helicase 1 (EC 3.6.4.12)	Rtel1 Kiaa1088 Rtel	1203
Q99LF4	reviewed	RNA-splicing ligase RtcB homolog (EC 6.5.1.8) (3'-phosphate/5'-hydroxy nucleic acid ligase) (Focal adhesion-associated protein) (FAAP)	Rtcb D10Wsu52e	505
Q9D7H3	reviewed	RNA 3'-terminal phosphate cyclase (RNA cyclase) (RNA-3'-phosphate cyclase) (EC 6.5.1.4) (RNA terminal phosphate cyclase domain-containing protein 1)	RtcA Rpc1 Rtcd1	366
Q8QZY4	reviewed	Retbindin	Rtbdn	247
Q01730	reviewed	Ras suppressor protein 1 (RSP-1) (Rsu-1)	Rsu1 Rsp1	277
Q3UC65	reviewed	Arginine/serine-rich protein 1	Rsrp1 D4Wsu53e MNCb-0169	298
A2RTL5	reviewed	Arginine/serine-rich coiled-coil protein 2	Rsrc2	376
Q9DBU6	reviewed	Serine/Arginine-related protein 53 (SRrp53) (Arginine/serine-rich coiled-coil protein 1)	Rsrc1 Srrp53	334
Q8BVR6	reviewed	RING finger and SPRY domain-containing protein 1	Rspry1 Kiaa1972	576
Q8BJ73	reviewed	R-spondin-4 (Cysteine-rich and single thrombospondin domain-containing protein 4) (Cristin-4) (mCristin-4) (Roof plate-specific spondin-4)	Rspo4	228
Q2TJ95	reviewed	R-spondin-3 (Cabriolet) (Cysteine-rich and single thrombospondin domain-containing protein 1) (Cristin-1) (Nucleopondin) (Roof plate-specific spondin-3)	Rspo3	277
Q8BFU0	reviewed	R-spondin-2 (Cysteine-rich and single thrombospondin domain-containing protein 2) (Cristin-2) (mCristin-2) (Roof plate-specific spondin-2)	Rspo2	243
Q9Z132	reviewed	R-spondin-1 (Cysteine-rich and single thrombospondin domain-containing protein 3) (Cristin-3) (mCristin-3) (Roof plate-specific spondin-1)	Rspo1	265
Q9D9V4	reviewed	Radial spoke head protein 9 homolog	Rsph9	276
Q8CDR2	reviewed	Radial spoke head protein 6 homolog A (Radial spoke head-like protein 1)	Rsph6a Rshl1	708
Q8BYM7	reviewed	Radial spoke head protein 4 homolog A (Radial spoke head-like protein 3)	Rsph4a Rshl3	716
Q9DA80	reviewed	Radial spoke head protein 3 homolog B (A-kinase anchor protein RSPH3B) (Radial spoke head-like protein 2B)	Rsph3b Rshl2 Rshl2b	389
Q3UFY4	reviewed	Radial spoke head protein 3 homolog A (A-kinase anchor protein RSPH3A) (Radial spoke head-like protein 2A)	Rsph3a Rshl2 Rshl2a	516
Q9D3W1	reviewed	Radial spoke head 14 homolog (Rhabdoid tumor deletion region protein 1)	Rsph14 Rtdr1	341
E9PYQ0	reviewed	Radial spoke head 10 homolog B	Rsph10b Rsph10b2	876
Q8VIG3	reviewed	Radial spoke head 1 homolog (Male meiotic metaphase chromosome-associated acidic protein) (Meichroacidin) (Testis-specific gene A2 protein)	Rsph1 Tsga2	301
Q99L28	reviewed	Probable ribosome biogenesis protein RLP24 (Ribosomal L24 domain-containing protein 1) (Ribosomal protein L24-like)	Rsl24d1	163
Q8BVY0	reviewed	Ribosomal L1 domain-containing protein 1	Rsl1d1	452
Q5SYL1	reviewed	Ribosomal protein S6 kinase-related protein (EC 2.7.11.1)	Rskr	278
Q9ER99	reviewed	Regulatory solute carrier protein family 1 member 1 (Regulatory subunit of SGLT1) (Transporter regulator RS1) (mRS1)	Rsc1a1	582
Q80T69	reviewed	Lysine-specific demethylase 9 (KDM9) (EC 1.14.11.-) (Round spermatid basic protein 1) (Rosbin)	Rsbn1 Kiaa3002 Rsbn	795
Q8CBB9	reviewed	Radical S-adenosyl methionine domain-containing protein 2 (Viperin) (Virus inhibitory protein, endoplasmic reticulum-associated, interferon-inducible)	Rsad2 Vig1	362
Q5SUV1	reviewed	Radical S-adenosyl methionine domain-containing protein 1, mitochondrial (Putative heme chaperone)	Rsad1	442
Q9Z1L4	reviewed	Retinoschisin (X-linked juvenile retinoschisis protein homolog)	Rs1 Rs1h Xlrs1	224
